keyword,competition,lower_bid,upper_bid,CPC
el 900 es un teléfono gratuito,1,0.0,0.0,4.21
el adsl mas barato,37,0.84,2.53,3.23
el numero 900 es gratuito,0,1.2,3.84,2.25
el número de atención al cliente de vodafone,11,2.56,2.59,2.82
el número de vodafone atención al cliente,11,2.56,2.59,2.82
el número gratuito de vodafone,46,0.69,2.58,1.17
el teléfono 900 es gratuito,0,1.96,4.74,2.52
el teléfono de atención al cliente de vodafone,10,2.57,2.59,3.13
elegir movil,89,0.13,0.43,0.31
elegir número móvil españa,21,0.23,1.09,0.36
contrato móviles,93,1.37,4.41,2.14
contrato moviles movistar,89,0.38,1.79,0.57
contrato telefonia,56,1.32,4.19,1.83
contrato telefono fijo,58,0.42,1.79,1.15
contrato telefono movil,70,1.32,3.23,1.96
contrato wifi,63,1.31,4.56,2.52
contratos de movil,68,0.76,4.58,1.84
contratos de moviles,97,1.3,4.08,1.86
contratos movil,93,1.37,4.41,2.14
contratos moviles,93,1.37,4.41,2.02
contratos moviles baratos,75,1.11,3.33,1.79
contratos movistar movil,41,0.34,1.66,0.42
contratos movistar movil tarifas,23,0.41,1.7,0.49
correos fibra,38,0.92,2.09,1.64
coste llamada 900,0,0.66,2.97,1.31
coste numero 900,1,2.96,5.5,2.14
coste sms,3,0.0,0.0,0.95
coste teléfono 900,2,0.93,4.51,2.18
covertura 5g,16,0.42,1.75,0.77
covertura 5g movistar,11,1.09,2.57,2.61
covertura fibra,55,0.59,2.76,0.97
covertura movil,13,0.42,1.55,0.77
cual es el mejor internet de españa,51,0.53,2.77,1.05
cuál es el número de atención al cliente de orange,28,0.17,0.74,0.76
cuál es el número de atención al cliente de vodafone,8,2.57,2.59,2.82
cuál es el número de orange,30,0.55,1.66,0.73
cuál es el teléfono de atención al cliente de orange,26,0.14,0.65,0.77
cuál es el teléfono de atención al cliente de vodafone,7,2.57,2.59,3.66
cual es la compañia de internet mas barata,60,0.55,2.19,1.37
cuál es la compañía de internet más barata,56,0.55,7.01,2.07
cual es la compañia de movil mas barata,59,1.09,3.33,1.22
